CUPS;Fecha;Hora;AE_kWh;AS_KWh;AE_AUTOCONS_kWh;REAL/ESTIMADO,
ES0031405462253006LB0F;10/05/2022;12;0,08;;;R
ES0031405462253006LB0F;10/05/2022;13;0,042;;;R
ES0031405462253006LB0F;10/05/2022;14;0,079;;;R
ES0031405462253006LB0F;10/05/2022;15;0,04;;;R
ES0031405462253006LB0F;10/05/2022;16;0,063;;;R
ES0031405462253006LB0F;10/05/2022;17;0,073;;;R
ES0031405462253006LB0F;10/05/2022;18;0,038;;;R
ES0031405462253006LB0F;10/05/2022;19;0,089;;;R
ES0031405462253006LB0F;10/05/2022;20;0,093;;;R
ES0031405462253006LB0F;10/05/2022;21;1,734;;;R
ES0031405462253006LB0F;10/05/2022;22;0,168;;;R
ES0031405462253006LB0F;10/05/2022;23;0,128;;;R
ES0031405462253006LB0F;10/05/2022;24;0,099;;;R
ES0031405462253006LB0F;11/05/2022;1;0,109;;;R
ES0031405462253006LB0F;11/05/2022;2;0,071;;;R
ES0031405462253006LB0F;11/05/2022;3;0,054;;;R
ES0031405462253006LB0F;11/05/2022;4;0,079;;;R
ES0031405462253006LB0F;11/05/2022;5;0,047;;;R
ES0031405462253006LB0F;11/05/2022;6;0,062;;;R
ES0031405462253006LB0F;11/05/2022;7;0,076;;;R
ES0031405462253006LB0F;11/05/2022;8;0,149;;;R
ES0031405462253006LB0F;11/05/2022;9;0,063;;;R
ES0031405462253006LB0F;11/05/2022;10;0,075;;;R
ES0031405462253006LB0F;11/05/2022;11;0,038;;;R
ES0031405462253006LB0F;11/05/2022;12;0,072;;;R
ES0031405462253006LB0F;11/05/2022;13;0,059;;;R
ES0031405462253006LB0F;11/05/2022;14;0,047;;;R
ES0031405462253006LB0F;11/05/2022;15;0,09;;;R
ES0031405462253006LB0F;11/05/2022;16;0,033;;;R
ES0031405462253006LB0F;11/05/2022;17;0,077;;;R
ES0031405462253006LB0F;11/05/2022;18;0,056;;;R
ES0031405462253006LB0F;11/05/2022;19;0,117;;;R
ES0031405462253006LB0F;11/05/2022;20;0,091;;;R
ES0031405462253006LB0F;11/05/2022;21;0,035;;;R
ES0031405462253006LB0F;11/05/2022;22;0,076;;;R
ES0031405462253006LB0F;11/05/2022;23;0,064;;;R
ES0031405462253006LB0F;11/05/2022;24;0,137;;;R
ES0031405462253006LB0F;12/05/2022;1;0,129;;;R
ES0031405462253006LB0F;12/05/2022;2;0,069;;;R
ES0031405462253006LB0F;12/05/2022;3;0,073;;;R
ES0031405462253006LB0F;12/05/2022;4;0,102;;;R
ES0031405462253006LB0F;12/05/2022;5;0,081;;;R
ES0031405462253006LB0F;12/05/2022;6;0,071;;;R
ES0031405462253006LB0F;12/05/2022;7;0,07;;;R
ES0031405462253006LB0F;12/05/2022;8;0,128;;;R
ES0031405462253006LB0F;12/05/2022;9;0,071;;;R
ES0031405462253006LB0F;12/05/2022;10;0,062;;;R
ES0031405462253006LB0F;12/05/2022;11;0,056;;;R
ES0031405462253006LB0F;12/05/2022;12;0,076;;;R
ES0031405462253006LB0F;12/05/2022;13;0,041;;;R
ES0031405462253006LB0F;12/05/2022;14;0,076;;;R
ES0031405462253006LB0F;12/05/2022;15;0,062;;;R
ES0031405462253006LB0F;12/05/2022;16;0,045;;;R
ES0031405462253006LB0F;12/05/2022;17;0,087;;;R
ES0031405462253006LB0F;12/05/2022;18;0,045;;;R
ES0031405462253006LB0F;12/05/2022;19;0,074;;;R
ES0031405462253006LB0F;12/05/2022;20;0,08;;;R
